n_features,features,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std
4,"min_temp_f, mean_temp_f, mean_humidity_pct, max_wind_mph",0.8407491688675954,0.019046603682138234,0.03421659019400516,0.0018884695948810828
5,"min_temp_f, mean_temp_f, mean_humidity_pct, temp_5day_avg_f, precip_3day_sum_in",0.8407377077678756,0.01832578543541854,0.03422335721146909,0.0017835051673011086
5,"min_temp_f, mean_temp_f, mean_humidity_pct, max_wind_mph, temp_5day_avg_f",0.8407103132023996,0.01868831575467531,0.03422362604837575,0.0018370799193377766
5,"min_temp_f, mean_temp_f, mean_humidity_pct, max_wind_mph, wind_3day_avg_mph",0.8406651887069776,0.019092415263451075,0.034225286398689755,0.0018929206514128505
5,"min_temp_f, mean_temp_f, mean_humidity_pct, temp_5day_avg_f, days_since_irrigation",0.8405394269845241,0.01720520154684592,0.034253944730047184,0.0016613673004059982
5,"max_temp_f, min_temp_f, mean_temp_f, mean_humidity_pct, days_since_irrigation",0.8405052315555406,0.017312349924861054,0.034257066711330365,0.0016816241825161765
5,"max_temp_f, min_temp_f, mean_temp_f, mean_humidity_pct, max_wind_mph",0.8403545136367748,0.019203009334227233,0.03425812698217136,0.001907948757726849
5,"min_temp_f, mean_temp_f, mean_humidity_pct, wind_3day_avg_mph, days_since_rain",0.8403477664614452,0.018058924106001302,0.034268028737289236,0.0017636192475132982
5,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_5day_sum_in, days_since_rain",0.8402966967799953,0.0172681206544477,0.034279567379872075,0.0016592922271468484
5,"min_temp_f, mean_temp_f, mean_humidity_pct, avg_wind_mph, days_since_rain",0.8400780520325387,0.018235809832726158,0.03429572076742213,0.0017779650580372652
4,"min_temp_f, mean_temp_f, mean_humidity_pct, days_since_rain",0.8395479394597423,0.018029839240034314,0.03435450422838905,0.0017412171652566285
5,"min_temp_f, mean_temp_f, mean_humidity_pct, temp_3day_avg_f, days_since_rain",0.8394657221830604,0.018045727471520705,0.034363221252550084,0.001741136241292124
5,"min_temp_f, mean_temp_f, mean_humidity_pct, temp_5day_avg_f, days_since_rain",0.8392320547328886,0.017951450431935228,0.03438915152683707,0.0017266012284913345
5,"max_temp_f, min_temp_f, mean_temp_f, mean_humidity_pct, days_since_rain",0.839220217274051,0.01818447474812537,0.03438867138576346,0.001760266279579831
5,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_5day_sum_in, wind_3day_avg_mph",0.8391134656490638,0.018110554025878328,0.034400870342868796,0.0017575870100573871
5,"min_temp_f, mean_temp_f, mean_humidity_pct, avg_wind_mph, precip_5day_sum_in",0.8390017579607012,0.018191205928818618,0.034412201745248526,0.0017624224856261504
5,"min_temp_f, mean_temp_f, precip_3day_sum_in, days_since_rain, previous_irrigation_amount",0.8389985587454849,0.011605353789286588,0.03445613849699549,0.0009771486076551273
5,"max_temp_f, min_temp_f, mean_humidity_pct, precip_in, day_of_year",0.8387300969704393,0.014680941851210135,0.034466929203884965,0.0012806009525069553
5,"min_temp_f, mean_temp_f, precip_in, days_since_rain, day_of_year",0.8387172475484881,0.012224578904033515,0.034482395489894846,0.0009958339324794379
5,"min_temp_f, mean_temp_f, precip_in, days_since_rain, month",0.838680293177444,0.012115753095662134,0.03448699974308622,0.0009831308078148344
5,"min_temp_f, mean_temp_f, mean_humidity_pct, temp_3day_avg_f, wind_3day_avg_mph",0.8386800960326756,0.018807143994105147,0.03444189841574583,0.0018354668862900628
5,"min_temp_f, mean_temp_f, mean_humidity_pct, avg_wind_mph, wind_3day_avg_mph",0.8386773620757765,0.018911669299466336,0.03444136015990755,0.0018490163168882034
4,"min_temp_f, mean_temp_f, mean_humidity_pct, wind_3day_avg_mph",0.8386658570558672,0.01881907025861268,0.03444337184972633,0.001838416373018949
4,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_5day_sum_in",0.8386306631450635,0.01795906114904131,0.03445387304405813,0.0017247735081147727
5,"max_temp_f, min_temp_f, mean_humidity_pct, precip_in, month",0.8386126855649634,0.014489235020608483,0.03448083811499309,0.0012584341328822689
5,"min_temp_f, mean_temp_f, mean_humidity_pct, temp_5day_avg_f, wind_3day_avg_mph",0.8385277352228364,0.018570860892159414,0.0344601579090521,0.0018020197163362908
5,"min_temp_f, mean_temp_f, mean_humidity_pct, temp_3day_avg_f, precip_5day_sum_in",0.8385038544743901,0.017965266251977904,0.0344674508810368,0.0017233410362550619
5,"min_temp_f, mean_temp_f, mean_humidity_pct, avg_wind_mph, temp_3day_avg_f",0.8384903367435135,0.019025897223862574,0.03446044278723155,0.0018539352331839872
4,"min_temp_f, mean_temp_f, mean_humidity_pct, avg_wind_mph",0.8384269421731251,0.019018627913693097,0.03446738135684417,0.0018553166733861683
5,"min_temp_f, mean_temp_f, previous_irrigation_amount, days_since_irrigation, month",0.8384210965338583,0.01179113569121257,0.03451725884750984,0.0010067093452672507
5,"min_temp_f, mean_temp_f, previous_irrigation_amount, days_since_irrigation, day_of_year",0.8383926115626361,0.011870491687340997,0.034519889066821074,0.0010154750893687056
5,"max_temp_f, min_temp_f, mean_temp_f, mean_humidity_pct, precip_5day_sum_in",0.8383230485200345,0.018083974465846267,0.03448603328065128,0.0017402161026037336
5,"max_temp_f, min_temp_f, mean_temp_f, mean_humidity_pct, wind_3day_avg_mph",0.8382709371556473,0.01899342771972677,0.034484560367535236,0.001859857148482295
5,"min_temp_f, mean_temp_f, mean_humidity_pct, avg_wind_mph, temp_5day_avg_f",0.8382405204857193,0.018836778452796417,0.0344888347916593,0.0018260104344347116
5,"min_temp_f, mean_temp_f, mean_humidity_pct, temp_5day_avg_f, precip_5day_sum_in",0.8382111222641655,0.017875737860314406,0.03449962850218804,0.0017098577062662234
5,"max_temp_f, min_temp_f, mean_temp_f, mean_humidity_pct, avg_wind_mph",0.8380389786160478,0.019179742183365583,0.03450786394999205,0.0018750347770703957
5,"min_temp_f, mean_temp_f, precip_3day_sum_in, previous_irrigation_amount, days_since_irrigation",0.8378348212047151,0.012334775915280762,0.034577270652438596,0.0010634985308907684
3,"min_temp_f, mean_temp_f, mean_humidity_pct",0.837708891522474,0.018809905411185344,0.034546175593296216,0.0018155292660334361
5,"max_temp_f, mean_temp_f, mean_humidity_pct, previous_irrigation_amount, day_of_year",0.8376367390587509,0.015457177153458727,0.0345804937096635,0.0014284512446382778
5,"max_temp_f, mean_temp_f, mean_humidity_pct, previous_irrigation_amount, month",0.8375721212749363,0.015281387629310807,0.03458864790195165,0.0014083025300316453
4,"min_temp_f, mean_temp_f, mean_humidity_pct, temp_3day_avg_f",0.8375652559106577,0.018845604140713988,0.03456128973589266,0.0018184243855431164
5,"max_temp_f, mean_temp_f, precip_in, precip_5day_sum_in, previous_irrigation_amount",0.8375516298336217,0.013244906682719926,0.03460533112472062,0.0011700683034771024
5,"min_temp_f, mean_temp_f, precip_3day_sum_in, previous_irrigation_amount, month",0.8374783648526334,0.013073953092150415,0.034611124259680943,0.0011302226161800375
5,"min_temp_f, mean_temp_f, precip_3day_sum_in, previous_irrigation_amount, day_of_year",0.8374699091354859,0.013164400500453342,0.034611501960639855,0.0011405855667093363
5,"max_temp_f, min_temp_f, mean_temp_f, previous_irrigation_amount, days_since_irrigation",0.8374414381436681,0.012342999864281858,0.03461956183607383,0.0010629088743607177
